sam,given_name,surname,department,title,ou
bosch,Bo,Schmidt,Finans,Controller,"OU=Finans,OU=Administration"
najuh,Nanna,Juhl,Lager,Truckfoerer,OU=Lager
laras,Lars,Rasmussen,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
idsoe,Ida,Soerensen,HR,HR-partner,"OU=HR,OU=Administration"
bijoe,Birgitte,Joergensen,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
kachr,Kasper,Christensen,Lager,Lagerassistent,OU=Lager
jutho,Julie,Thomsen,IT,Systemadministrator,"OU=IT,OU=Administration"
liols,Lise,Olsen,HR,HR-konsulent,"OU=HR,OU=Administration"
emras,Emma,Rasmussen,Finans,Bogholder,"OU=Finans,OU=Administration"
andah,Anne,Dahl,Lager,Lagermedarbejder,OU=Lager
hekri,Henrik,Kristensen,IT,IT-supporter,"OU=IT,OU=Administration"
thand,Thomas,Andersen,HR,Loenadministrator,"OU=HR,OU=Administration"
maber,Martin,Berg,Finans,Controller,"OU=Finans,OU=Administration"
moeri,Morten,Eriksen,Lager,Truckfoerer,OU=Lager
kamoe,Kasper,Moeller,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
bichr,Birgitte,Christensen,HR,HR-partner,"OU=HR,OU=Administration"
bopou,Bo,Poulsen,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
emand,Emma,Andersen,Lager,Lagerassistent,OU=Lager
trmoe,Troels,Moeller,IT,Systemadministrator,"OU=IT,OU=Administration"
jejen,Jens,Jensen,HR,HR-konsulent,"OU=HR,OU=Administration"
trjuh,Troels,Juhl,Finans,Bogholder,"OU=Finans,OU=Administration"
anive,Anne,Iversen,Lager,Lagermedarbejder,OU=Lager
bojen,Bo,Jensen,IT,IT-supporter,"OU=IT,OU=Administration"
trlar,Troels,Larsen,HR,Loenadministrator,"OU=HR,OU=Administration"
mesoe,Mette,Soerensen,Finans,Controller,"OU=Finans,OU=Administration"
idras,Ida,Rasmussen,Lager,Truckfoerer,OU=Lager
mamad,Mads,Madsen,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
somoe,Soeren,Moeller,HR,HR-partner,"OU=HR,OU=Administration"
idive,Ida,Iversen,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
lasch,Laura,Schmidt,Lager,Lagerassistent,OU=Lager
timad,Tina,Madsen,IT,Systemadministrator,"OU=IT,OU=Administration"
boive,Bo,Iversen,HR,HR-konsulent,"OU=HR,OU=Administration"
frped,Frederik,Pedersen,Finans,Bogholder,"OU=Finans,OU=Administration"
pemik,Pernille,Mikkelsen,Lager,Lagermedarbejder,OU=Lager
tiped,Tina,Pedersen,IT,IT-supporter,"OU=IT,OU=Administration"
anras,Anders,Rasmussen,HR,Loenadministrator,"OU=HR,OU=Administration"
frras,Frederik,Rasmussen,Finans,Controller,"OU=Finans,OU=Administration"
maped2,Martin,Pedersen,Lager,Truckfoerer,OU=Lager
manie,Malene,Nielsen,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
jejoe,Jens,Joergensen,HR,HR-partner,"OU=HR,OU=Administration"
vichr,Viktor,Christensen,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
gimoe,Gitte,Moeller,Lager,Lagerassistent,OU=Lager
maive,Martin,Iversen,IT,Systemadministrator,"OU=IT,OU=Administration"
olkri,Ole,Kristensen,HR,HR-konsulent,"OU=HR,OU=Administration"
juive,Julie,Iversen,Finans,Bogholder,"OU=Finans,OU=Administration"
ullun,Ulla,Lund,Lager,Lagermedarbejder,OU=Lager
sojuh,Soeren,Juhl,IT,IT-supporter,"OU=IT,OU=Administration"
jeras,Jens,Rasmussen,HR,Loenadministrator,"OU=HR,OU=Administration"
najoe,Nanna,Joergensen,Finans,Controller,"OU=Finans,OU=Administration"
frmik,Frederik,Mikkelsen,Lager,Truckfoerer,OU=Lager
lijak,Lise,Jakobsen,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
idfre,Ida,Frederiksen,HR,HR-partner,"OU=HR,OU=Administration"
majen,Martin,Jensen,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
jekri,Jens,Kristensen,Lager,Lagerassistent,OU=Lager
pebac,Peter,Bach,IT,Systemadministrator,"OU=IT,OU=Administration"
bilar,Birgitte,Larsen,HR,HR-konsulent,"OU=HR,OU=Administration"
nitho,Niels,Thomsen,Finans,Bogholder,"OU=Finans,OU=Administration"
ralun,Rasmus,Lund,Lager,Lagermedarbejder,OU=Lager
kanie,Kasper,Nielsen,IT,IT-supporter,"OU=IT,OU=Administration"
oland,Ole,Andersen,HR,Loenadministrator,"OU=HR,OU=Administration"
emmoe,Emil,Moeller,Finans,Controller,"OU=Finans,OU=Administration"
heols,Henrik,Olsen,Lager,Truckfoerer,OU=Lager
memik,Mette,Mikkelsen,IT,Netvaerksadministrator,"OU=IT,OU=Administration"
dosch,Dorthe,Schmidt,HR,HR-partner,"OU=HR,OU=Administration"
soped,Sofie,Pedersen,Finans,Regnskabsassistent,"OU=Finans,OU=Administration"
emhol,Emil,Holm,Lager,Lagerassistent,OU=Lager
miive,Mikkel,Iversen,IT,Systemadministrator,"OU=IT,OU=Administration"
hejak,Henrik,Jakobsen,HR,HR-konsulent,"OU=HR,OU=Administration"
makri,Maja,Kristensen,Finans,Bogholder,"OU=Finans,OU=Administration"
ansoe,Anders,Soerensen,Lager,Lagermedarbejder,OU=Lager
